Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description
"20250630 1009175 2,025,062,313,997",6/30/25,5/31/25,Debit,-790,,1272433863,Real Estate Company
"20250629 1009175 2,025,062,113,996",6/29/25,6/21/25,Credit,2500,,1361113836,Employer Company
"20250620 1009175 2,025,062,113,995",6/20/25,6/21/25,Debit,-69.9,,1480933544,COSTCO GAS
"20250620 1009175 2,025,062,113,994",6/20/25,6/21/25,Debit,-252.55,,1480933545,COSTCO WHSE
"20250620 1009175 2,025,062,113,993",6/20/25,6/21/25,Debit,-5.5,,1480932453,Apple.com
"20250620 1009175 2,025,062,013,992",6/20/25,6/20/25,Debit,-46,,1480902038,Safeway
"20250620 1009175 2,025,062,013,991",6/20/25,6/20/25,Debit,-137.84,,1480840454,IKEA
"20250617 1009175 2,025,061,713,988",6/17/25,6/17/25,Debit,-25,,1479627087,Red Robin
"20250617 1009175 2,025,061,713,987",6/17/25,6/17/25,Debit,-35,,1479623163,AMC 9730 ONLINE
"20250616 1009175 2,025,061,613,986",6/16/25,6/16/25,Debit,-23.95,,1479445512,CHEVRON 0384925
"20250616 1009175 2,025,061,613,985",6/16/25,6/16/25,Debit,-58,,1479445513,QFC
"20250616 1009175 2,025,061,613,984",6/16/25,6/16/25,Debit,-45.35,,1479382861,MOD PIZZA
"20250615 1009175 2,025,061,613,983",6/15/25,6/16/25,Debit,-18.9,,1479054476,Netflix
"20250608 1009175 2,025,060,813,980",6/8/25,6/8/25,Debit,-50,,1476619236,"THE HOME DEPOT, #5448"
"20250608 1009175 2,025,060,813,979",6/8/25,6/8/25,Debit,-167,,1476602243,AMAZON MKTPL
"20250608 1009175 2,025,060,813,978",6/8/25,6/8/25,Debit,-50,,1476492404,AMAZON RETA* 
"20250605 1009175 2,025,060,613,976",6/5/25,6/6/25,Debit,-203.2,,1475798566,AMAZON MARK* VU0SR9YE1
"20250601 1009175 2,025,060,113,971",6/1/25,6/1/25,Debit,-54.23,,1473663095,Telephone company
"20250601 1009175 2,025,060,113,970",6/1/25,6/1/25,Debit,-200,,1473627196,THE UPS STORE 2779
"20250531 1009175 2,025,053,113,969",5/31/25,5/31/25,Debit,-790,,1473304758,Real Estate Company
"20250531 1009175 2,025,053,113,968",5/31/25,5/31/25,Credit,2500,,1473304125,Employer Company
"20250531 1009175 2,025,053,113,967",5/31/25,5/31/25,Debit,-650,,1473244747,FredMeyer
"20250527 1009175 2,025,052,713,964",5/27/25,5/27/25,Debit,-72.59,,1471924728,Insurance company
"20250520 1009175 2,025,052,013,958",5/20/25,5/20/25,Credit,150,,1469683775,birthday gift
"20250517 1009175 2,025,051,713,957",5/17/25,5/17/25,Debit,-350,,1468705615,Autoworks car repair
"20250517 1009175 2,025,051,713,956",5/17/25,5/17/25,Debit,-92.4,,1468681125,Red Robin
"20250516 1009175 2,025,051,613,955",5/16/25,5/16/25,Debit,-71,,1468362629,Safeway
"20250515 1009175 2,025,051,513,954",5/15/25,5/15/25,Debit,-7,,1468085335,Starbucks
"20250514 1009175 2,025,051,513,952",5/14/25,5/15/25,Debit,-5,,1467804586,Apple.com
"20250514 1009175 2,025,051,513,951",5/14/25,5/15/25,Debit,-69,,1467804587,Comcast
"20250508 1009175 2,025,050,813,950",5/8/25,5/8/25,Debit,-45,,1465728203,APPLEBEES
